#{"t_start": 1605293783.2334216, "env_id": null}
r,l,t
0.7,37,1.03757
0.8,61,2.171264
0.7,91,3.920986
0.8,12,4.154455
0.8,161,7.269083
0.9,201,20.494461
0.8,184,24.041355
0.7,56,25.210585
0.7,60,26.413589
0.7,50,27.429144
0.8,401,44.923013
0.8,60,46.144538
0.7,17,46.486929
0.8,199,59.768625
0.7,24,60.276372
0.7,24,60.783722
0.8,387,68.719944
0.8,334,84.800613
0.8,28,85.429167
0.8,157,88.692992
0.7,150,101.079408
0.7,38,101.907205
0.9,159,105.31169
0.8,73,106.765708
0.8,59,107.981725
0.7,401,128.557475
0.7,41,129.910909
1.0,271,146.548144
0.8,45,147.637568
0.8,134,150.939037
0.8,40,151.918277
0.7,50,153.226034
0.7,59,154.852942
0.9,122,169.28729
0.8,144,173.196769
0.8,239,179.69585
0.8,130,192.754754
0.8,49,193.880105
0.9,115,196.767634
0.8,23,197.270082
0.7,32,197.963605
0.7,93,200.527694
0.7,55,201.679414
0.8,69,214.123391
0.8,94,216.355799
0.7,22,216.868546
0.7,401,235.109844
0.9,241,240.879482
0.8,51,242.408078
0.8,68,244.002183
0.8,24,244.643533
0.7,61,246.196882
0.8,63,258.320149
0.8,95,260.508996
0.8,128,263.134311
0.8,137,265.986968
0.8,261,282.028086
0.8,140,285.249077
0.8,45,286.197217
0.8,50,287.276871
0.8,134,290.018374
0.8,61,300.678582
0.8,52,301.686352
0.8,38,302.410837
0.8,99,304.366213
0.8,48,305.34455
0.8,61,306.672709
0.7,84,308.419928
0.8,140,320.627823
0.7,314,326.926151
0.8,42,327.777254
0.8,75,329.361704
0.8,46,340.339172
0.8,112,342.910422
-0.2,268,348.630923
0.8,210,362.989099
0.8,205,367.290102
0.8,47,368.302278
-0.2,157,371.598577
0.9,94,383.084733
0.8,101,385.475717
0.8,164,388.905275
0.8,72,390.402275
0.8,95,401.550347
0.8,56,402.709806
0.8,81,404.554774
0.8,401,421.823114
0.8,93,424.197789
0.8,23,424.681311
0.7,68,426.114843
0.8,160,429.387341
0.7,113,431.613899
0.8,53,441.996291
0.8,32,442.686342
0.8,188,447.422654
0.8,52,448.609238
0.8,79,450.511193
0.8,39,451.421207
0.8,84,453.470715
0.8,142,467.832313
0.7,23,468.537039
0.7,28,469.434556
0.8,181,474.059814
0.7,82,476.239671
0.8,104,489.216384
0.8,38,490.067997
0.8,33,491.082069
0.9,66,492.874096
0.7,104,495.379988
0.7,48,496.47467
0.7,59,497.665625
-0.2,195,511.789596
0.8,88,513.813952
0.8,46,515.263079
0.8,87,518.340579
0.8,65,520.034788
0.9,123,523.277863
0.8,200,538.08812
0.8,226,543.315155
2.0,21,543.803483
0.9,71,545.58696
